"Postcode"	"City"	"Usage"	"Municipality code"	"Municipality"	"Region code"	"Region"	"Latitude"	"Longitude"	"Quality code"	"Quality description"
1501	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.44	10.67	1	"Koordinatane gjeld postkontoret"
1502	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.44	10.67	1	"Koordinatane gjeld postkontoret"
1503	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.44	10.67	1	"Koordinatane gjeld postkontoret"
1506	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.47	10.69	1	"Koordinatane gjeld postkontoret"
1509	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.45	10.7	1	"Koordinatane gjeld postkontoret"
1510	"Moss"	"Postboksar"	104	"Moss"	1	"Østfold"	59.43	10.65	1	"Koordinatane gjeld postkontoret"
1511	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.64	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1512	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.63	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1513	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.45	10.64	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1514	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.48	10.65	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1515	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.64	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1516	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.64	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1517	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.63	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1518	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.62	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1519	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.61	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1520	"Moss"	"Postboksar"	136	"Rygge"	1	"Østfold"	59.42	10.68	1	"Koordinatane gjeld postkontoret"
1521	"Moss"	"Postboksar"	136	"Rygge"	1	"Østfold"	59.42	10.68	1	"Koordinatane gjeld postkontoret"
1522	"Moss"	"Postboksar"	136	"Rygge"	1	"Østfold"	59.42	10.68	1	"Koordinatane gjeld postkontoret"
1523	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.42	10.68	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1524	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.42	10.66	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1525	"Moss"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.41	10.66	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1526	"Moss"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.41	10.67	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1528	"Moss"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.42	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1529	"Moss"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.42	10.69	5	"Koordinatane er retta av ein yr.no-brukar"
1530	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.67	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1531	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.66	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1532	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.67	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1533	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.68	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1534	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.45	10.68	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1535	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.45	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1536	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.46	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1537	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.46	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1538	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.47	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1539	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.48	10.69	5	"Koordinatane er retta av ein yr.no-brukar"
1560	"Larkollen"	"Gateadresser og postboksar"	136	"Rygge"	1	"Østfold"	59.33	10.68	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1570	"Dilling"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.39	10.66	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1580	"Rygge"	"Gateadresser"	136	"Rygge"	1	"Østfold"	59.37	10.78	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1581	"Rygge"	"Postboksar"	136	"Rygge"	1	"Østfold"	59.38	10.76	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1590	"Rygge flystasjon"	"Firma med eige postnummer"	136	"Rygge"	1	"Østfold"	59.39	10.79	1	"Koordinatane er kontrollerte av yr.no"
1591	"Sperrebotn"	"Gateadresser"	137	"Våler"	1	"Østfold"	59.46	10.8	5	"Koordinatane er retta av ein yr.no-brukar"
1592	"Våler i Østfold"	"Gateadresser og postboksar"	137	"Våler"	1	"Østfold"	59.49	10.85	5	"Koordinatane er retta av ein yr.no-brukar"
1593	"Svinndal"	"Gateadresser og postboksar"	137	"Våler"	1	"Østfold"	59.42	11.01	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1596	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.43	10.7	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1597	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.69	5	"Koordinatane er retta av ein yr.no-brukar"
1598	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.44	10.69	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1599	"Moss"	"Gateadresser"	104	"Moss"	1	"Østfold"	59.45	10.73	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1601	"Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.21	10.94	1	"Koordinatane gjeld postkontoret"
1602	"Fredrikstad"	"Fleire bruksområde"	106	"Fredrikstad"	1	"Østfold"	59.22	10.93	1	"Koordinatane er kontrollerte av yr.no"
1603	"Fredrikstad"	"Fleire bruksområde"	106	"Fredrikstad"	1	"Østfold"	59.22	10.94	1	"Koordinatane er kontrollerte av yr.no"
1604	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	10.96	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1605	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	10.95	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1606	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	10.95	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1607	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	10.94	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1608	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	10.93	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1609	"Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.23	10.96	1	"Koordinatane gjeld postkontoret"
1610	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	10.92	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1612	"Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.22	10.93	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1613	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.93	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
